departamento;provincia;ubigeo;tecnologia_consultada;empresa;tecnologia_operador;info_de_cobertura;area_total_cubierta;area_garantizada;area_adicional;area_total_cubierta_global;area_total_garantizada_global;distrito
La Libertad;Trujillo;130109;4g;movistar;4g;"{""area_garant"": 98.8698, ""area_adicio"": 100}";290.8273;98.8698;100;100;100;Salaverry
La Libertad;Trujillo;130109;5g;bitel;5g;"{""area_garant"": 7.0741, ""area_adicio"": 27.7142}";290.8273;7.0741;27.7142;29.730886570946;7.0741426731419;Salaverry
La Libertad;Trujillo;130109;5g;claro;5g;"{""area_garant"": 0, ""area_adicio"": 0}";290.8273;0;0;29.730886570946;7.0741426731419;Salaverry
La Libertad;Trujillo;130109;5g;entel;5g;"{""area_garant"": 0, ""area_adicio"": 20.4468}";290.8273;0;20.4468;29.730886570946;7.0741426731419;Salaverry
La Libertad;Trujillo;130109;5g;movistar;5g;"{""area_garant"": 0, ""area_adicio"": 0}";290.8273;0;0;29.730886570946;7.0741426731419;Salaverry
La Libertad;Trujillo;130110;2g;bitel;2g;"{""area_garant"": 0, ""area_adicio"": 0}";389.864;0;0;84.930286672902;56.277070095862;Simbal
La Libertad;Trujillo;130110;2g;claro;2g;"{""area_garant"": 56.2771, ""area_adicio"": 77.6332}";389.864;56.2771;77.6332;84.930286672902;56.277070095862;Simbal
La Libertad;Trujillo;130110;2g;entel;2g;"{""area_garant"": 0, ""area_adicio"": 79.3626}";389.864;0;79.3626;84.930286672902;56.277070095862;Simbal
La Libertad;Trujillo;130110;2g;movistar;2g;"{""area_garant"": 0, ""area_adicio"": 2.4275}";389.864;0;2.4275;84.930286672902;56.277070095862;Simbal
La Libertad;Trujillo;130110;3g;bitel;3g;"{""area_garant"": 39.6385, ""area_adicio"": 62.4318}";389.864;39.6385;62.4318;89.008224760346;41.67362539163;Simbal
La Libertad;Trujillo;130110;3g;claro;3g;"{""area_garant"": 16.6437, ""area_adicio"": 67.6032}";389.864;16.6437;67.6032;89.008224760346;41.67362539163;Simbal
La Libertad;Trujillo;130110;3g;entel;3g;"{""area_garant"": 0, ""area_adicio"": 88.9941}";389.864;0;88.9941;89.008224760346;41.67362539163;Simbal
La Libertad;Trujillo;130110;3g;movistar;3g;"{""area_garant"": 0, ""area_adicio"": 0}";389.864;0;0;89.008224760346;41.67362539163;Simbal
La Libertad;Trujillo;130110;4g;bitel;4g;"{""area_garant"": 1.1276, ""area_adicio"": 7.9419}";389.864;1.1276;7.9419;92.590801309329;3.5106990413841;Simbal
La Libertad;Trujillo;130110;4g;claro;4g;"{""area_garant"": 0, ""area_adicio"": 59.5091}";389.864;0;59.5091;92.590801309329;3.5106990413841;Simbal
La Libertad;Trujillo;130110;4g;entel;4g;"{""area_garant"": 2.3831, ""area_adicio"": 92.5906}";389.864;2.3831;92.5906;92.590801309329;3.5106990413841;Simbal
La Libertad;Trujillo;130110;4g;movistar;4g;"{""area_garant"": 0, ""area_adicio"": 0.0002}";389.864;0;0.0002;92.590801309329;3.5106990413841;Simbal
La Libertad;Trujillo;130110;5g;bitel;5g;"{""area_garant"": 0, ""area_adicio"": 0}";389.864;0;0;0;0;Simbal
La Libertad;Trujillo;130110;5g;claro;5g;"{""area_garant"": 0, ""area_adicio"": 0}";389.864;0;0;0;0;Simbal
La Libertad;Trujillo;130110;5g;entel;5g;"{""area_garant"": 0, ""area_adicio"": 0}";389.864;0;0;0;0;Simbal
La Libertad;Trujillo;130110;5g;movistar;5g;"{""area_garant"": 0, ""area_adicio"": 0}";389.864;0;0;0;0;Simbal
La Libertad;Trujillo;130111;2g;bitel;2g;"{""area_garant"": 0, ""area_adicio"": 0}";11.9481;0;0;100;99.8432;Victor Larco Herrera
La Libertad;Trujillo;130111;2g;claro;2g;"{""area_garant"": 57.306, ""area_adicio"": 100}";11.9481;57.306;100;100;99.8432;Victor Larco Herrera
La Libertad;Trujillo;130111;2g;entel;2g;"{""area_garant"": 0, ""area_adicio"": 99.7148}";11.9481;0;99.7148;100;99.8432;Victor Larco Herrera
La Libertad;Trujillo;130111;2g;movistar;2g;"{""area_garant"": 99.8432, ""area_adicio"": 100}";11.9481;99.8432;100;100;99.8432;Victor Larco Herrera
La Libertad;Trujillo;130111;3g;bitel;3g;"{""area_garant"": 92.0416, ""area_adicio"": 99.0257}";11.9481;92.0416;99.0257;100;98.1413;Victor Larco Herrera
La Libertad;Trujillo;130111;3g;claro;3g;"{""area_garant"": 30.5438, ""area_adicio"": 99.8352}";11.9481;30.5438;99.8352;100;98.1413;Victor Larco Herrera
La Libertad;Trujillo;130111;3g;entel;3g;"{""area_garant"": 0, ""area_adicio"": 99.992}";11.9481;0;99.992;100;98.1413;Victor Larco Herrera
