departamento;provincia;ubigeo;tecnologia_consultada;empresa;tecnologia_operador;info_de_cobertura;area_total_cubierta;area_garantizada;area_adicional;area_total_cubierta_global;area_total_garantizada_global
Amazonas;Utcubamba;0107XX;5g;entel;5g;"{""area_garant"": 0, ""area_adicio"": 0}";3994.2175;0;0;3.6762423999039;1.3845431014086
Amazonas;Utcubamba;0107XX;5g;movistar;5g;"{""area_garant"": 0, ""area_adicio"": 0}";3994.2175;0;0;3.6762423999039;1.3845431014086
Áncash;Huaraz;0201XX;2g;bitel;2g;"{""area_garant"": 0, ""area_adicio"": 0}";2510.2372;0;0;97.103897381084;59.944595620779
Áncash;Huaraz;0201XX;2g;claro;2g;"{""area_garant"": 26.5861, ""area_adicio"": 87.7303}";2510.2372;26.5861;87.7303;97.103897381084;59.944595620779
Áncash;Huaraz;0201XX;2g;entel;2g;"{""area_garant"": 0, ""area_adicio"": 86.4909}";2510.2372;0;86.4909;97.103897381084;59.944595620779
Áncash;Huaraz;0201XX;2g;movistar;2g;"{""area_garant"": 57.2914, ""area_adicio"": 91.9912}";2510.2372;57.2914;91.9912;97.103897381084;59.944595620779
Áncash;Huaraz;0201XX;3g;bitel;3g;"{""area_garant"": 73.4604, ""area_adicio"": 87.4979}";2510.2372;73.4604;87.4979;97.067263612478;84.083201614675
Áncash;Huaraz;0201XX;3g;claro;3g;"{""area_garant"": 15.6896, ""area_adicio"": 89.7629}";2510.2372;15.6896;89.7629;97.067263612478;84.083201614675
Áncash;Huaraz;0201XX;3g;entel;3g;"{""area_garant"": 0, ""area_adicio"": 90.7184}";2510.2372;0;90.7184;97.067263612478;84.083201614675
Áncash;Huaraz;0201XX;3g;movistar;3g;"{""area_garant"": 70.7878, ""area_adicio"": 81.1578}";2510.2372;70.7878;81.1578;97.067263612478;84.083201614675
Áncash;Huaraz;0201XX;4g;bitel;4g;"{""area_garant"": 75.5692, ""area_adicio"": 92.469}";2510.2372;75.5692;92.469;98.200381431545;84.160532037427
Áncash;Huaraz;0201XX;4g;claro;4g;"{""area_garant"": 14.5238, ""area_adicio"": 74.4379}";2510.2372;14.5238;74.4379;98.200381431545;84.160532037427
Áncash;Huaraz;0201XX;4g;entel;4g;"{""area_garant"": 1.1897, ""area_adicio"": 92.9858}";2510.2372;1.1897;92.9858;98.200381431545;84.160532037427
Áncash;Huaraz;0201XX;4g;movistar;4g;"{""area_garant"": 72.6892, ""area_adicio"": 90.8318}";2510.2372;72.6892;90.8318;98.200381431545;84.160532037427
Áncash;Huaraz;0201XX;5g;bitel;5g;"{""area_garant"": 18.9742, ""area_adicio"": 40.2018}";2510.2372;18.9742;40.2018;40.201780503152;18.974178794425
Áncash;Huaraz;0201XX;5g;claro;5g;"{""area_garant"": 0, ""area_adicio"": 0}";2510.2372;0;0;40.201780503152;18.974178794425
Áncash;Huaraz;0201XX;5g;entel;5g;"{""area_garant"": 0, ""area_adicio"": 0}";2510.2372;0;0;40.201780503152;18.974178794425
Áncash;Huaraz;0201XX;5g;movistar;5g;"{""area_garant"": 0, ""area_adicio"": 0}";2510.2372;0;0;40.201780503152;18.974178794425
Áncash;Aija;0202XX;2g;bitel;2g;"{""area_garant"": 0, ""area_adicio"": 0}";696.4071;0;0;80.347158738579;34.834063159446
Áncash;Aija;0202XX;2g;claro;2g;"{""area_garant"": 22.1033, ""area_adicio"": 71.1493}";696.4071;22.1033;71.1493;80.347158738579;34.834063159446
Áncash;Aija;0202XX;2g;entel;2g;"{""area_garant"": 0, ""area_adicio"": 0}";696.4071;0;0;80.347158738579;34.834063159446
Áncash;Aija;0202XX;2g;movistar;2g;"{""area_garant"": 28.1069, ""area_adicio"": 69.1892}";696.4071;28.1069;69.1892;80.347158738579;34.834063159446
Áncash;Aija;0202XX;3g;bitel;3g;"{""area_garant"": 35.3861, ""area_adicio"": 44.8184}";696.4071;35.3861;44.8184;76.297274550545;36.617051473622
Áncash;Aija;0202XX;3g;claro;3g;"{""area_garant"": 5.8135, ""area_adicio"": 55.7506}";696.4071;5.8135;55.7506;76.297274550545;36.617051473622
Áncash;Aija;0202XX;3g;entel;3g;"{""area_garant"": 0, ""area_adicio"": 32.3116}";696.4071;0;32.3116;76.297274550545;36.617051473622
Áncash;Aija;0202XX;3g;movistar;3g;"{""area_garant"": 13.668, ""area_adicio"": 14.6437}";696.4071;13.668;14.6437;76.297274550545;36.617051473622
Áncash;Aija;0202XX;4g;bitel;4g;"{""area_garant"": 28.4448, ""area_adicio"": 52.4939}";696.4071;28.4448;52.4939;74.129552402004;29.112969437076
Áncash;Aija;0202XX;4g;claro;4g;"{""area_garant"": 4.9941, ""area_adicio"": 37.1162}";696.4071;4.9941;37.1162;74.129552402004;29.112969437076
Áncash;Aija;0202XX;4g;entel;4g;"{""area_garant"": 0, ""area_adicio"": 59.1643}";696.4071;0;59.1643;74.129552402004;29.112969437076
Áncash;Aija;0202XX;4g;movistar;4g;"{""area_garant"": 12.8569, ""area_adicio"": 23.9079}";696.4071;12.8569;23.9079;74.129552402004;29.112969437076
Áncash;Aija;0202XX;5g;bitel;5g;"{""area_garant"": 0, ""area_adicio"": 0}";696.4071;0;0;0;0
Áncash;Aija;0202XX;5g;claro;5g;"{""area_garant"": 0, ""area_adicio"": 0}";696.4071;0;0;0;0
Áncash;Aija;0202XX;5g;entel;5g;"{""area_garant"": 0, ""area_adicio"": 0}";696.4071;0;0;0;0
Áncash;Aija;0202XX;5g;movistar;5g;"{""area_garant"": 0, ""area_adicio"": 0}";696.4071;0;0;0;0
Áncash;Antonio;0203XX;2g;bitel;2g;"{""area_garant"": 0, ""area_adicio"": 0}";557.5928;0;0;93.980243828551;68.440796694515
Áncash;Antonio;0203XX;2g;claro;2g;"{""area_garant"": 23.0267, ""area_adicio"": 55.4672}";557.5928;23.0267;55.4672;93.980243828551;68.440796694515
Áncash;Antonio;0203XX;2g;entel;2g;"{""area_garant"": 0, ""area_adicio"": 34.2589}";557.5928;0;34.2589;93.980243828551;68.440796694515
Áncash;Antonio;0203XX;2g;movistar;2g;"{""area_garant"": 66.6258, ""area_adicio"": 91.2809}";557.5928;66.6258;91.2809;93.980243828551;68.440796694515
Áncash;Antonio;0203XX;3g;bitel;3g;"{""area_garant"": 33.3342, ""area_adicio"": 42.6651}";557.5928;33.3342;42.6651;84.069846472939;39.953379157283
Áncash;Antonio;0203XX;3g;claro;3g;"{""area_garant"": 12.215, ""area_adicio"": 52.4323}";557.5928;12.215;52.4323;84.069846472939;39.953379157283
Áncash;Antonio;0203XX;3g;entel;3g;"{""area_garant"": 0, ""area_adicio"": 65.3899}";557.5928;0;65.3899;84.069846472939;39.953379157283
Áncash;Antonio;0203XX;3g;movistar;3g;"{""area_garant"": 0.5632, ""area_adicio"": 29.5383}";557.5928;0.5632;29.5383;84.069846472939;39.953379157283
Áncash;Antonio;0203XX;4g;bitel;4g;"{""area_garant"": 27.1449, ""area_adicio"": 52.3532}";557.5928;27.1449;52.3532;88.780524140937;29.725952509989
Áncash;Antonio;0203XX;4g;claro;4g;"{""area_garant"": 8.0969, ""area_adicio"": 44.7501}";557.5928;8.0969;44.7501;88.780524140937;29.725952509989
Áncash;Antonio;0203XX;4g;entel;4g;"{""area_garant"": 4.6656, ""area_adicio"": 72.784}";557.5928;4.6656;72.784;88.780524140937;29.725952509989
Áncash;Antonio;0203XX;4g;movistar;4g;"{""area_garant"": 0.3289, ""area_adicio"": 77.0532}";557.5928;0.3289;77.0532;88.780524140937;29.725952509989
Áncash;Antonio;0203XX;5g;bitel;5g;"{""area_garant"": 0, ""area_adicio"": 0}";557.5928;0;0;0;0
Áncash;Antonio;0203XX;5g;claro;5g;"{""area_garant"": 0, ""area_adicio"": 0}";557.5928;0;0;0;0
Áncash;Antonio;0203XX;5g;entel;5g;"{""area_garant"": 0, ""area_adicio"": 0}";557.5928;0;0;0;0
Áncash;Antonio;0203XX;5g;movistar;5g;"{""area_garant"": 0, ""area_adicio"": 0}";557.5928;0;0;0;0
Áncash;Asunción;0204XX;2g;bitel;2g;"{""area_garant"": 0, ""area_adicio"": 0}";528.2465;0;0;87.485154034427;24.832024757934
Áncash;Asunción;0204XX;2g;claro;2g;"{""area_garant"": 24.832, ""area_adicio"": 81.4916}";528.2465;24.832;81.4916;87.485154034427;24.832024757934
